Station,StationID,Date,Time,SampleDescription,FieldNotes,Weather,NorthLat,WestLong,Chla,Pheophytin,DissAmmonia,DissCalcium,DissChloride,DissNitrateNitrite,DOC,TOC,DON,DissOrthoPhos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth,Secchi,Microcystis,SpCndSurface,FluorescenceSurface,DOSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,FluorescenceBottom,DOBottom,WTBottom,TurbidityBottom,pHBottom
NZS42,E3S81082029,2013-11-13,12:15,,N/A,partly cloudy and warm with light wind (4 mph),N/A,N/A,1.23,1.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.4,52,N/A,12969,4.4,7.75,15.4,26.9,7.62,N/A,N/A,N/A,N/A,N/A,N/A
D41,E0B80182224,2013-11-14,10:55,,N/A,mostly cloudy and cool w/ light breeze (10 mph),N/A,N/A,1.87,0.96,0.11,361,16987,0.37,0.5,0.5,0.3,0.09,0.14,5.6,30740,39,14,0.5,44.2,116,N/A,45940,2.4,7.6,14.5,11.7,7.95,N/A,N/A,N/A,N/A,N/A,N/A
D41A,E0B80512234,2013-11-14,09:45,,N/A,mostly foggy and cool w/ light breeze (5 mph),N/A,N/A,1.77,0.86,0.1,312,14378,0.43,0.7,0.7,0.3,0.1,0.15,7.7,26200,60,21,0.5,8.4,72,N/A,39274,2.7,8.1,15,22.7,7.98,N/A,N/A,N/A,N/A,N/A,N/A
D6,E3B80272071,2013-11-14,13:00,,N/A,mostly cloudy and cool w/ light breeze (8 mph),N/A,N/A,1.2,0.49,0.14,268,12276,0.46,0.8,0.8,0.3,0.1,0.14,9.4,22580,29,8,0.6,35.3,92,N/A,33895,2.9,8.4,15.3,14.4,7.99,N/A,N/A,N/A,N/A,N/A,N/A
NZ002,E0E80392129,2013-11-14,12:05,No lab data collected due to high surface specific conductance,N/A,mostly cloudy and cool w/ med. Wind (13 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.2,72,N/A,38854,3.4,8.3,14.5,18.6,7.99,N/A,N/A,N/A,N/A,N/A,N/A
NZ004,E0E80212097,2013-11-14,12:40,No lab data collected due to high surface specific conductance,N/A,mostly cloudy and cool w/ med. Wind (17-18 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.5,76,N/A,35320,2.1,8.3,15.2,14.8,7.98,N/A,N/A,N/A,N/A,N/A,N/A
NZ325,E3B80352175,2013-11-14,11:40,No lab data collected due to high surface specific conductance,N/A,mostly cloudy and cool w/ med. Wind (13 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.4,44,N/A,38245,3,8.4,14.9,25.6,8.04,N/A,N/A,N/A,N/A,N/A,N/A
D12,B9D80131484,2013-12-09,10:05,,N/A,"Mostly sunny, cold, and clear with light winds 8-9 mph",N/A,N/A,1.56,1.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,40,N/A,6467,2.4,9.9,9.9,26.8,7.7,N/A,N/A,N/A,N/A,N/A,N/A
D19,B9D80261369,2013-12-09,11:30,,N/A,"Mostly sunny, cold, and clear with light winds 8-9 mph",N/A,N/A,1.6,1.35,0.13,17,224,0.52,2.6,2.7,0.2,0.07,0.09,16.4,562,7,2,0.5,28,112,N/A,1016,2.7,10.2,9.8,6.7,7.7,N/A,N/A,N/A,N/A,N/A,N/A
D28A,B9D75821344,2013-12-09,12:40,,N/A,"Mostly sunny, cold, and clear with light winds 6 mph",N/A,N/A,1.27,0.95,0.09,18,146,0.46,2.7,2.9,0.3,0.06,0.08,14,390,2,1,0.4,28,264,N/A,706,1.7,10.9,8.9,1.6,7.6,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2013-12-10,11:00,,N/A,"clear, cold, calm",N/A,N/A,2.27,0.84,0.78,14,10,0.18,3.3,3.9,0.1,0.09,0.14,21.6,124,4,2,1.5,9,164,N/A,212,N/A,11,7.17,4.94,7,N/A,N/A,N/A,N/A,N/A,N/A
C10A,B9D74081159,2013-12-10,15:00,,N/A,"clear, cold, calm",N/A,N/A,3.12,0.8,0.04,38,130,1.78,3.5,4,0.3,0.07,0.13,15.8,533,8,2,0.4,N/A,N/A,N/A,924,N/A,11.8,7.38,6,7.52,N/A,N/A,N/A,N/A,N/A,N/A
D16,B9D80581401,2013-12-10,09:40,,N/A,"Mostly sunny, cold, and clear with light winds (5 mph)",N/A,N/A,1.19,0.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.8,148,N/A,723,2.5,10.1,9.8,5.9,7.8,N/A,N/A,N/A,N/A,N/A,N/A
D26,B9D80461340,2013-12-10,10:55,,N/A,"Mostly sunny, cold, and clear with light winds (5 mph)",N/A,N/A,1.13,0.66,0.21,16,61,0.46,2.9,2.9,0.2,0.07,0.1,18.2,224,6,1,0.6,22.8,132,N/A,398,2.4,9.7,9.6,4.9,7.5,N/A,N/A,N/A,N/A,N/A,N/A
MD10A,B9S80251252,2013-12-10,12:00,,N/A,"Mostly sunny, cold, and clear with light winds (7 mph)",N/A,N/A,1.64,0.32,0.04,18,50,0.47,3,3.1,0.2,0.06,0.09,12.6,203,3,ND,0.3,17,392,N/A,368,2.9,10.25,8.4,1,7.5,N/A,N/A,N/A,N/A,N/A,N/A
P8,B9D75871229,2013-12-10,13:25,,N/A,"Mostly sunny, cold, and clear with light winds (5 mph)",N/A,N/A,1.36,0.56,0.09,32,153,3.16,3.5,3.8,0.4,0.25,0.33,13.4,480,2,ND,0.6,38.3,220,N/A,877,2.6,9.4,8.4,1.9,7.6,N/A,N/A,N/A,N/A,N/A,N/A
D10,B9D80281551,2013-12-11,11:10,,N/A,N/A,N/A,N/A,1.24,1.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.8,28,N/A,15551,2.5,10,8.96,46.3,7.78,N/A,N/A,N/A,N/A,N/A,N/A
D22,B9D80511443,2013-12-11,12:56,,N/A,N/A,N/A,N/A,1.51,0.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.9,44,N/A,5460,2.3,10,9.06,18.3,7.75,N/A,N/A,N/A,N/A,N/A,N/A
D4,B9D80381492,2013-12-11,12:00,,N/A,Slight breeze,N/A,N/A,0.98,0.89,0.18,87,3452,0.56,1.5,1.5,0.2,0.08,0.12,15.3,6680,31,6,0.6,39.6,48,N/A,11602,2.4,9.9,9.25,20.3,7.77,N/A,N/A,N/A,N/A,N/A,N/A
D8,E3B80361594,2013-12-11,10:25,,N/A,*had to restart MOPED,N/A,N/A,1.15,0.95,0.18,130,5301,0.57,1.3,1.4,0.3,0.09,0.13,14.1,10280,49,9,0.6,45.7,36,N/A,17710,2.3,10.05,8.64,27.6,7.78,N/A,N/A,N/A,N/A,N/A,N/A
EZ2,EZ2,2013-12-11,13:50,,N/A,Calm,38.119,-121.702,1.84,0.82,0.24,18,202,0.44,2.2,2.3,0.2,0.07,0.11,19.8,464,15,2,0.5,30.1,60,N/A,883,2.5,10.15,8.7,12.1,7.78,N/A,N/A,N/A,N/A,N/A,N/A
EZ6,EZ6,2013-12-11,12:55,,N/A,N/A,38.0847,-121.738,1.43,1.01,0.18,39,1209,0.53,1.9,2,0.1,0.08,0.11,17.6,3050,27,5,0.5,31.9,44,N/A,5460,2.3,10,9.06,18.3,7.75,N/A,N/A,N/A,N/A,N/A,N/A
D6,E3B80272071,2013-12-12,13:10,,N/A,partly cloudy and cool with light wind (2 mph),N/A,N/A,1.03,0.72,0.15,227,10724,0.4,1.3,1.5,0.3,0.06,0.13,9.3,20160,29,6,0.6,43.8,72,N/A,30843,2.4,9.25,10.2,14.9,7.98,N/A,N/A,N/A,N/A,N/A,N/A
D7,E0B80702024,2013-12-12,10:05,,N/A,"mostly sunny and cold, clear with light wind",N/A,N/A,1.38,1.58,0.16,159,7067,0.46,1.6,1.9,0.3,0.07,0.16,12.4,13970,69,9,0.8,5.9,24,N/A,21471,2.7,9.95,9.5,42.8,7.96,N/A,N/A,N/A,N/A,N/A,N/A
NZ032,E3S81022013,2013-12-12,12:05,,N/A,"mostly sunny and cold, clear with light wind",N/A,N/A,2.15,0.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.5,52,N/A,12277,4,9,9.1,21.4,7.8,N/A,N/A,N/A,N/A,N/A,N/A
NZS42,E3S81082029,2013-12-12,11:05,,N/A,"mostly sunny and cold, clear with light wind",N/A,N/A,1.01,1.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.2,40,N/A,12694,4.6,9.6,8.7,21.2,7.78,N/A,N/A,N/A,N/A,N/A,N/A
D41,E0B80182224,2013-12-13,09:30,,N/A,partly cloudy and cool with light wind (2 mph),N/A,N/A,1.86,0.5,0.1,343,16429,0.29,0.8,0.8,0.3,0.06,0.14,5.4,30340,35,7,0.5,41.5,100,N/A,44806,2.1,8.4,9.9,6.4,8,N/A,N/A,N/A,N/A,N/A,N/A
D41A,E0B80512234,2013-12-13,08:40,,N/A,partly cloudy and cool with light wind (2 mph),N/A,N/A,1.24,1.24,0.13,287,13446,0.48,1.3,1.4,0.3,0.09,0.14,7.9,26240,67,12,0.5,8.3,54,N/A,38188,2.7,9,9.8,28.5,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ002,E0E80392129,2013-12-13,10:25,No lab data collected due to high surface specific conductance,N/A,partly cloudy and cool with light wind (2 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.2,52,N/A,36944,2.2,9,9.9,17,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ004,E0E80212097,2013-12-13,10:50,No lab data collected due to high surface specific conductance,N/A,partly cloudy and cool with light wind (2 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.3,84,N/A,30247,2,9.1,9.9,7.8,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ325,E3B80352175,2013-12-13,10:05,No lab data collected due to high surface specific conductance,N/A,partly cloudy and cool with light wind (2 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,72,N/A,37102,1.7,9,9.8,11.8,8,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2014-01-07,10:30,,N/A,"Cold, nippy, partly cloudy",N/A,N/A,3.03,0.67,0.02,14,8,0.08,2.1,2.4,0.1,0.03,0.04,20.2,113,4,ND,0.2,9.6,180,N/A,198,N/A,11.2,9.2,4.37,6.97,N/A,N/A,N/A,N/A,N/A,N/A
C10A,B9D74081159,2014-01-07,13:15,,N/A,"Cool, calm, partly cloudy",N/A,N/A,5.49,1.96,0.04,44,155,1.68,3,3.2,0.3,0.05,0.1,15.8,616,9,2,0.5,N/A,180,N/A,1064,N/A,10.9,10.33,6.4,7.37,N/A,N/A,N/A,N/A,N/A,N/A
D12,B9D80131484,2014-01-08,10:14,,N/A,"partly cloudy, light wind",N/A,N/A,1.27,1.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.4,52,N/A,9041,2,10.3,8.82,21.8,7.67,N/A,N/A,N/A,N/A,N/A,N/A
D19,B9D80261369,2014-01-08,11:23,,N/A,"partly cloudy, light wind",N/A,N/A,2.26,1.09,0.2,22,355,0.62,4,4.4,0.3,0.07,0.1,19.8,796,10,2,0.6,8.4,132,N/A,1439,3.4,10.5,8.78,5.8,7.59,N/A,N/A,N/A,N/A,N/A,N/A
D28A,B9D75821344,2014-01-08,12:24,,N/A,"partly cloudy, light wind",N/A,N/A,1.91,1.02,0.12,20,191,0.64,5.9,6.3,0.3,0.06,0.08,17.7,535,2,ND,0.6,18.4,220,N/A,963,3.8,10.2,8.75,2.7,7.71,N/A,N/A,N/A,N/A,N/A,N/A
D16,B9D80581401,2014-01-09,09:10,,N/A,"partly cloudy, light wind",N/A,N/A,2.19,0.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,148,N/A,1149,3.8,10.4,9.1,8.4,7.52,N/A,N/A,N/A,N/A,N/A,N/A
D26,B9D80461340,2014-01-09,10:15,,N/A,"partly cloudy, light wind 3 mph",N/A,N/A,2.1,0.78,0.18,17,99,0.48,3.6,3.6,0.6,0.05,0.05,19.8,305,6,1,1.4,44.6,164,N/A,550,3.1,10.3,9.2,6.6,7.3,N/A,N/A,N/A,N/A,N/A,N/A
MD10A,B9S80251252,2014-01-09,11:15,,N/A,"partly cloudy, light wind 7 mph",N/A,N/A,1.44,0.43,0.06,22,77,0.7,4.4,4.4,0.5,0.06,0.09,15.8,265,2,1,0.5,18,292,N/A,477,4.7,9.4,9.2,2.2,7.3,N/A,N/A,N/A,N/A,N/A,N/A
P8,B9D75871229,2014-01-09,13:00,,N/A,"partly cloudy, light wind 7 mph",N/A,N/A,1.85,0.72,0.15,36,151,3.16,4,4,0.3,0.23,0.3,14,491,3,1,0.7,36.9,292,N/A,870,4.3,10.5,9.2,4.8,7.6,N/A,N/A,N/A,N/A,N/A,N/A
D10,B9D80281551,2014-01-10,10:20,,N/A,"overcast, no wind",N/A,N/A,1.34,1.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.6,40,N/A,17656,2.7,10.5,9.28,30,7.68,N/A,N/A,N/A,N/A,N/A,N/A
D22,B9D80511443,2014-01-10,11:45,,N/A,"overcast, no wind",N/A,N/A,1.65,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.6,52,N/A,5390,2.5,10.7,9.59,16.3,7.76,N/A,N/A,N/A,N/A,N/A,N/A
D4,B9D80381492,2014-01-10,11:00,,N/A,"overcast, no wind",N/A,N/A,1.08,0.84,0.27,84,3275,0.59,1.5,1.6,0.2,0.07,0.12,17.5,7590,26,4,0.6,33.2,56,N/A,13555,2,10.4,9.38,15.6,7.68,N/A,N/A,N/A,N/A,N/A,N/A
D8,E3B80361594,2014-01-10,09:38,,N/A,"overcast, no wind",N/A,N/A,2.21,0.92,0.26,140,4665,0.58,1.2,1.3,0.3,0.07,0.12,14.3,11330,31,6,0.7,46.4,56,N/A,18939,2.9,10.3,9.21,18.2,7.68,N/A,N/A,N/A,N/A,N/A,N/A
EZ2,EZ2,2014-01-10,12:58,,N/A,"hazy, light wind (1 mph)",38.1397,-121.6908,2.8,1.03,0.32,23,443,0.55,2,2.1,0.2,0.07,0.11,20.5,1020,15,2,0.6,38.6,72,N/A,1819,2.8,10.7,8.97,13.2,7.71,N/A,N/A,N/A,N/A,N/A,N/A
EZ6,EZ6,2014-01-10,11:45,,Corrected lat/long to station D22/NZ064.,"overcast, no wind",38.0845,-121.7391,2.32,1.21,0.3,39,1205,0.59,1.8,1.9,0.1,0.07,0.11,19.4,3090,23,3,0.6,33.6,52,N/A,5390,2.5,10.7,9.59,16.3,7.76,N/A,N/A,N/A,N/A,N/A,N/A
D7,E0B80702024,2014-01-13,11:35,,N/A,"mostly sunny and clear, light wind (8-10 mph)",N/A,N/A,3.83,1.26,0.23,162,7056,0.5,1.3,1.3,0.3,0.06,0.11,14.1,12820,30,8,0.7,5.8,64,N/A,21007,5.3,10.4,10.4,14.7,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ032,E3S81022013,2014-01-13,13:35,,N/A,"mostly sunny and clear, light wind (6 mph)",N/A,N/A,4.44,1.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.8,56,N/A,11991,6.6,10.6,10.2,21.2,7.8,N/A,N/A,N/A,N/A,N/A,N/A
NZS42,E3S81082029,2014-01-13,12:35,,N/A,"mostly sunny and clear, light wind (6 mph)",N/A,N/A,2.73,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,36,N/A,12886,5,10.2,10.1,26.9,7.81,N/A,N/A,N/A,N/A,N/A,N/A
D41,E0B80182224,2014-01-14,11:15,,N/A,partly cloudy and warm/ med. wind (15 mph),N/A,N/A,1.55,1.04,0.11,350,16565,0.25,ND,ND,0.3,0.05,0.12,4.9,29660,31,8,0.6,40.4,136,N/A,44936,2.1,8.2,11.4,7.6,8,N/A,N/A,N/A,N/A,N/A,N/A
D41A,E0B80512234,2014-01-14,10:15,,N/A,partly cloudy and warm/ light wind (8 mph),N/A,N/A,1.36,0.48,0.13,299,13665,0.36,0.6,0.6,0.3,0.06,0.1,8,25160,37,10,0.4,8.2,72,N/A,38328,2.8,8.75,10.7,11.3,7.74,N/A,N/A,N/A,N/A,N/A,N/A
D6,E3B80272071,2014-01-14,13:05,,N/A,partly cloudy and warm/ light wind (6 mph),N/A,N/A,1.23,1.8,0.16,234,11195,0.36,0.8,0.8,0.4,0.05,0.12,10.2,19660,23,7,0.7,46.3,104,N/A,32053,3.9,9.2,10.8,10.4,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ002,E0E80392129,2014-01-14,12:20,No lab data collected due to high surface specific conductance,N/A,partly cloudy and warm/ med. Wind (12 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.8,92,N/A,35272,3,9,10.9,9.9,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ004,E0E80212097,2014-01-14,12:50,No lab data collected due to high surface specific conductance,N/A,partly cloudy and warm/ light wind (8 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.2,124,N/A,31047,2.7,9.2,10.9,6.2,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ325,E3B80352175,2014-01-14,11:55,No lab data collected due to high surface specific conductance,N/A,partly cloudy and warm/ light wind (10 mph),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.1,N/A,N/A,35580,2.8,9.2,10.8,6.5,8,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2014-02-05,09:30,,N/A,"Partly cloudy, cold, like a brisk Irish morning",N/A,N/A,6.51,2.08,0.43,18,11,0.19,2.4,2.5,0.4,0.07,0.12,21.8,134,32,4,1,9.8,180,N/A,233,N/A,10.7,10.43,5.15,6.84,N/A,N/A,N/A,N/A,N/A,N/A
C10A,B9D74081159,2014-02-05,12:03,,N/A,"Parly cloudy, calm, Roberta-esque",N/A,N/A,11,2.16,0.02,38,118,1.22,2.4,2.5,0.3,0.04,0.08,13.8,476,5,1,0.5,N/A,N/A,N/A,816,N/A,11.1,10.8,6.5,7.32,N/A,N/A,N/A,N/A,N/A,N/A
D16,B9D80581401,2014-02-06,07:50,,N/A,Overcast and cool with light winds (3 mph),N/A,N/A,1.48,0.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.2,156,N/A,989,3.9,9.65,10.9,4.4,7.51,N/A,N/A,N/A,N/A,N/A,N/A
D26,B9D80461340,2014-02-06,09:00,,N/A,Mostly overcast and cool with strong winds (23 mph),N/A,N/A,1.38,0.78,0.2,20,101,0.69,4.6,4.6,0.4,0.07,0.1,19.4,325,7,1,0.8,39.7,148,N/A,587,4.6,9.6,11.1,3.3,7.4,N/A,N/A,N/A,N/A,N/A,N/A
MD10A,B9S80251252,2014-02-06,10:10,,N/A,Intermitten rains and cool with medium winds (16 mph),N/A,N/A,1.01,0.47,0.06,28,100,0.84,6.9,7,0.6,0.06,0.09,16,350,2,ND,0.9,13.1,240,N/A,623,5.5,8.7,11,0.7,7.5,N/A,N/A,N/A,N/A,N/A,N/A
P8,B9D75871229,2014-02-06,11:30,,N/A,Intermitten rain and cool with medium winds (19 mph),N/A,N/A,1.51,2.13,0.15,43,227,3.94,4.9,5.1,0.5,0.32,0.42,13.8,676,15,2,0.8,38.5,104,N/A,1221,3.8,9.75,11,8.6,7.53,N/A,N/A,N/A,N/A,N/A,N/A
D12,B9D80131484,2014-02-07,10:10,,N/A,Overcast and cool with light winds (3 mph),N/A,N/A,1.13,0.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.9,68,N/A,7975,3.9,9.8,11,14.6,7.76,N/A,N/A,N/A,N/A,N/A,N/A
D19,B9D80261369,2014-02-07,11:20,,N/A,"Intermitten rains, overcast, cool with medium winds (13- 15 mph)",N/A,N/A,3.37,2.86,0.13,24,306,0.72,3.6,3.7,0.3,0.06,0.1,19.4,716,15,2,0.7,19.1,88,N/A,1294,4.2,9.8,10.9,10.4,7.66,N/A,N/A,N/A,N/A,N/A,N/A
D28A,B9D75821344,2014-02-07,12:40,,N/A,"Intermitten rains, overcast, cool with medium winds (13 - 15 mph)",N/A,N/A,1.14,0.74,0.07,24,232,0.77,5,5,0.3,0.06,0.06,17.6,572,2,ND,0.4,24.9,242,N/A,1038,5.5,9.9,10.9,1.5,7.55,N/A,N/A,N/A,N/A,N/A,N/A
D10,B9D80281551,2014-02-10,12:00,,N/A,"calm, overcast",N/A,N/A,0.43,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.2,64,N/A,13307,2.4,9.9,9.7,14.7,7.74,N/A,N/A,N/A,N/A,N/A,N/A
D22,B9D80511443,2014-02-10,13:46,,N/A,"calm, overcast",N/A,N/A,2.2,1.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.1,64,N/A,2794,1.7,10.2,9.8,9.9,7.78,N/A,N/A,N/A,N/A,N/A,N/A
D4,B9D80381492,2014-02-10,12:45,,N/A,"calm, overcast",N/A,N/A,1.36,0.33,0.19,64,2406,0.72,1.9,1.9,0.2,0.07,0.09,17.7,5524,17,4,0.5,38.3,88,N/A,9792,2.2,10,10,7.7,7.73,N/A,N/A,N/A,N/A,N/A,N/A
D8,E3B80361594,2014-02-10,11:16,,N/A,"calm, overcast",N/A,N/A,1.21,0.68,0.17,117,4806,0.69,1.5,1.5,0.3,0.07,0.1,14.8,9480,23,5,0.6,46.7,72,N/A,16243,2.2,9.75,9.7,10.3,7.72,N/A,N/A,N/A,N/A,N/A,N/A
EZ2,EZ2,2014-02-10,14:10,,N/A,"calm, overcast",38.1068,-121.7173,2.54,1.48,0.18,24,438,0.49,2.2,2.3,0.3,0.06,0.11,18.8,1012,19,3,0.6,33.9,60,N/A,1814,3.3,10,9.5,12.6,7.72,N/A,N/A,N/A,N/A,N/A,N/A
EZ6,EZ6,2014-02-10,13:30,,Corrected lat/long to station D22/NZ064.,"calm, overcast",38.0845,-121.7391,2.4,1.37,0.21,32,879,0.69,2.1,2.2,0.2,0.07,0.11,18.6,2436,17,3,0.5,31.5,64,N/A,4380,2.8,10.15,9.8,10.7,7.74,N/A,N/A,N/A,N/A,N/A,N/A
D7,E0B80702024,2014-02-11,11:35,,N/A,"partly cloudy and cool, med. Wind (4-7 mph)",N/A,N/A,1.9,1.48,0.2,123,5007,0.72,1.8,1.9,0.4,0.07,0.12,14.4,10250,45,8,0.7,6.2,48,N/A,16589,3.7,9.75,12.2,23.2,7.87,N/A,N/A,N/A,N/A,N/A,N/A
NZ032,E3S81022013,2014-02-11,13:40,,N/A,"partly cloudy and warm, med. Wind (6 mph)",N/A,N/A,3.39,1.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.1,52,N/A,9476,5.7,9.3,13.6,22.2,7.58,N/A,N/A,N/A,N/A,N/A,N/A
NZS42,E3S81082029,2014-02-11,12:35,,N/A,"partly cloudy and warm, med. Wind (7 mph)",N/A,N/A,2.78,2.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.6,14,N/A,7426,9.2,8.1,12.9,41.8,7.47,N/A,N/A,N/A,N/A,N/A,N/A
D41,E0B80182224,2014-02-12,10:45,,N/A,overcast & cool light winds 10mph,N/A,N/A,1.53,0.24,0.14,261,12394,0.48,0.8,0.9,0.3,0.07,0.1,7.6,23420,20,4,0.5,43,132,N/A,37215,2.8,8.7,12.5,5.7,8.1,N/A,N/A,N/A,N/A,N/A,N/A
D41A,E0B80512234,2014-02-12,09:40,,N/A,"Foggy and overcast, cool with light wind (7-8 mph)",N/A,N/A,1.85,1.2,0.13,240,11394,0.55,0.9,0.9,0.3,0.07,0.15,8.6,21680,63,10,0.7,8,52,N/A,33098,3.6,8.8,12.4,35.2,8,N/A,N/A,N/A,N/A,N/A,N/A
D6,E3B80272071,2014-02-12,12:40,,N/A,overcast & cool medium winds 13mph,N/A,N/A,1.94,0.89,0.2,162,7562,0.65,1.3,1.3,0.4,0.07,0.1,12.5,14200,25,6,0.7,41,72,N/A,22689,3.8,9.3,12.5,13.7,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ002,E0E80392129,2014-02-12,11:50,No lab data collected due to high surface specific conductance,N/A,overcast & cool light winds 5.5mph,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.2,72,N/A,29499,2.7,9,12.3,19.1,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ004,E0E80212097,2014-02-12,12:25,No lab data collected due to high surface specific conductance,N/A,overcast & cool medium winds 17mph,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.2,84,N/A,23842,3,9.3,12.4,11.4,8,N/A,N/A,N/A,N/A,N/A,N/A
NZ325,E3B80352175,2014-02-12,11:25,No lab data collected due to high surface specific conductance,N/A,overcast & cool light winds 8mph,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.2,72,N/A,29178,3.6,9.1,12.4,15.9,8,N/A,N/A,N/A,N/A,N/A,N/A
C3A,B9D82211312,2014-03-06,09:23,,N/A,"partly cloudy, light breeze, cool",N/A,N/A,4.17,4.58,0.25,14,12,0.45,5.1,5.8,0.5,0.06,0.16,20.9,139,57,8,1.1,11.1,20,N/A,208,N/A,8.65,14.2,52.9,7.4,N/A,N/A,N/A,N/A,N/A,N/A
C10A,B9D74081159,2014-03-06,13:21,,N/A,"partly cloudy, light breeze, cool",N/A,N/A,30.22,5.06,ND,48,176,1.52,3.7,4.4,0.4,0.07,0.18,15.6,718,27,7,0.8,N/A,N/A,N/A,1240,N/A,10.2,18.7,16.6,8,N/A,N/A,N/A,N/A,N/A,N/A
