Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-03-19,,,,4.46,2.91,,,,40.29,,4.51,,79.1,,,,
2000-03-20,,,,4.46,2.91,,,,40.29,,4.51,,77.5,,,,
2000-03-21,,,,4.46,2.91,,,,40.29,,4.51,,74.4,,,,
2000-03-22,,,,4.46,2.91,,,,40.29,,4.51,,77.8,,,,
2000-03-23,,,,4.46,2.91,,,,40.29,,4.51,,73.6,,,,
2000-03-24,,,,4.46,2.91,,,,40.29,,4.51,,73.9,,,,
2000-03-25,,,,4.46,2.91,,,,40.29,,4.51,,73.7,,,,
2000-03-26,,,,4.46,2.91,,,,40.29,,4.51,,74,,,,
2000-03-27,,,,4.46,2.91,,,,40.29,,4.51,,74.8,,,,
2000-03-28,,,,4.46,2.91,,,,40.29,,4.51,,74.7,,,,
2000-03-29,,,,4.46,2.91,,,,40.29,,4.51,,72.1,,,,
2000-03-30,,,,4.46,2.91,,,,40.29,,4.51,,71.5,,,,
2000-03-31,,,,4.46,2.91,,,,40.29,,4.51,,73.3,,,,
2000-04-01,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-04-02,,,,4.46,2.91,,,,40.29,,4.51,,74,,,,
2000-04-03,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-04-04,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-04-05,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-04-06,,,,4.46,2.91,,,,40.29,,4.51,,74,,,,
2000-04-07,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-04-08,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-04-09,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-04-10,,,,4.46,2.91,,,,40.29,,4.51,,73,,,,
2000-04-11,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-04-12,,,,4.46,2.91,,,,40.29,,4.51,,82,,,,
2000-04-13,,,,4.46,2.91,,,,40.29,,4.51,,77,,,,
2000-04-14,,,,4.46,2.91,,,,40.29,,4.51,,73,,,,
2000-04-15,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-04-16,,,,4.46,2.91,,,,40.29,,4.51,,87,,,,
2000-04-17,,,,4.46,2.91,,,,40.29,,4.51,,89,,,,
2000-04-18,,,,4.46,2.91,,,,40.29,,4.51,,77,,,,
2000-04-19,,,,4.46,2.91,,,,40.29,,4.51,,81,,,,
2000-04-20,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-04-21,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-04-22,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-04-23,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-04-24,,,,4.46,2.91,,,,40.29,,4.51,,76,,,,
2000-04-25,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-04-26,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-04-27,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-04-28,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-04-29,,,,4.46,2.91,,,,40.29,,4.51,,77,,,,
2000-04-30,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-05-01,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-05-02,,25.8,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-05-03,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-05-04,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-05-05,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-05-06,,,,4.46,2.91,,,,40.29,,4.51,,74,,,,
2000-05-07,,,,4.46,2.91,,,,40.29,,4.51,,92,,,,
2000-05-08,,,,4.46,2.91,,,,40.29,,4.51,,103,,,,
2000-05-09,,,,4.46,2.91,,,,40.29,,4.51,,78,,,,
2000-05-10,,,,4.46,2.91,,,,40.29,,4.51,,76,,,,
2000-05-11,,,,4.46,2.91,,,,40.29,,4.51,,74,,,,
2000-05-12,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-05-13,,,,4.46,2.91,,,,40.29,,4.51,,82,,,,
2000-05-14,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-05-15,,,,4.46,2.91,,,,40.29,,4.51,,89,,,,
2000-05-16,,,,4.46,2.91,,,,40.29,,4.51,,76,,,,
2000-05-17,,,,4.46,2.91,,,,40.29,,4.51,,74,,,,
2000-05-18,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-05-19,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-05-20,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-05-21,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-05-22,,,,4.46,2.91,,,,40.29,,4.51,,73,,,,
2000-05-23,,28.8,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-05-24,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-05-25,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-05-26,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-05-27,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-05-28,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-05-29,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-05-30,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-05-31,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-06-01,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-06-02,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-06-03,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-06-04,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-06-05,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-06-06,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-06-07,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-06-08,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-06-09,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-06-10,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-06-11,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-06-12,,,,4.46,2.91,,,,40.29,,4.51,,73,,,,
2000-06-13,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-06-14,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-06-15,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-06-16,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-06-17,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-06-18,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-06-19,,,,4.46,2.91,,,,40.29,,4.51,,73,,,,
2000-06-20,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-06-21,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-06-22,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-06-23,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-06-24,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-06-25,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-06-26,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-06-27,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-06-28,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-06-29,,,,4.46,2.91,,,,40.29,,4.51,,73,,,,
2000-06-30,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-07-01,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-07-02,,,,4.46,2.91,,,,40.29,,4.51,,62,,,,
2000-07-03,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-07-04,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-07-05,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-07-06,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-07-07,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-07-08,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-07-09,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-07-10,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-07-11,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-07-12,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-07-13,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-07-14,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-07-15,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-07-16,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-07-17,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-07-18,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-07-19,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-07-20,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-07-21,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-07-22,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-07-23,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-07-24,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-07-25,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-07-26,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-07-27,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-07-28,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-07-29,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-07-30,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-07-31,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-08-01,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-08-02,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-08-03,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-04,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-08-05,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-08-06,,,,4.46,2.91,,,,40.29,,4.51,,55,,,,
2000-08-07,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-08,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-09,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-08-10,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-08-11,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-08-12,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-08-13,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-08-14,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-15,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-16,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-17,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-08-18,,,,4.46,2.91,,,,40.29,,4.51,,62,,,,
2000-08-19,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-08-20,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-08-21,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-08-22,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-23,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-08-24,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-25,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-08-26,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-27,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-08-28,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-29,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-30,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-08-31,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-09-01,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-09-02,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-03,,,,4.46,2.91,,,,40.29,,4.51,,63,,,,
2000-09-04,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-09-05,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-06,,,,4.46,2.91,,,,40.29,,4.51,,63,,,,
2000-09-07,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-09-08,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-09-09,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-09-10,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-09-11,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-12,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-09-13,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-09-14,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-09-15,,,,4.46,2.91,,,,40.29,,4.51,,62,,,,
2000-09-16,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-09-17,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-18,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-19,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-09-20,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-09-21,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-09-22,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-09-23,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-24,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-25,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-09-26,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-27,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-09-28,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-29,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-09-30,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-10-01,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-10-02,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-10-03,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-10-04,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-10-05,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-10-06,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-10-07,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-10-08,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-10-09,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-10-10,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-10-11,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-10-12,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-10-13,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-10-14,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-10-15,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-10-16,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-10-17,,,,4.46,2.91,,,,40.29,,4.51,,63,,,,
2000-10-18,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-10-19,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-10-20,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-10-21,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-10-22,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-10-23,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-10-24,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-10-25,,,,4.46,2.91,,,,40.29,,4.51,,76,,,,
2000-10-26,,,,4.46,2.91,,,,40.29,,4.51,,105,,,,
2000-10-27,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-10-28,,,,4.46,2.91,,,,40.29,,4.51,,113,,,,
2000-10-29,,,,4.46,2.91,,,,40.29,,4.51,,83,,,,
2000-10-30,,,,4.46,2.91,,,,40.29,,4.51,,108,,,,
2000-10-31,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-01,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-11-02,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-11-03,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-04,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-11-05,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-06,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-11-07,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-11-08,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-09,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-11-10,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-11,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-11-12,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-13,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-14,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-11-15,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-11-16,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-11-17,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-11-18,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-11-19,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-11-20,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-11-21,,,,4.46,2.91,,,,40.29,,4.51,,74,,,,
2000-11-22,,,,4.46,2.91,,,,40.29,,4.51,,72,,,,
2000-11-23,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-11-24,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-11-25,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-26,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-11-27,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-11-28,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-11-29,,,,4.46,2.91,,,,40.29,,4.51,,81,,,,
2000-11-30,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-12-01,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-12-02,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-12-03,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-12-04,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-12-05,,28.4,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-12-06,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-12-07,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-12-08,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-12-09,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-12-10,,,,4.46,2.91,,,,40.29,,4.51,,68,,,,
2000-12-11,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-12-12,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-12-13,,,,4.46,2.91,,,,40.29,,4.51,,82,,,,
2000-12-14,,,,4.46,2.91,,,,40.29,,4.51,,92,,,,
2000-12-15,,,,4.46,2.91,,,,40.29,,4.51,,75,,,,
2000-12-16,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-12-17,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-12-18,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-12-19,,,,4.46,2.91,,,,40.29,,4.51,,67,,,,
2000-12-20,,,,4.46,2.91,,,,40.29,,4.51,,70,,,,
2000-12-21,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-12-22,,,,4.46,2.91,,,,40.29,,4.51,,71,,,,
2000-12-23,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-12-24,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-12-25,,,,4.46,2.91,,,,40.29,,4.51,,62,,,,
2000-12-26,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-12-27,,,,4.46,2.91,,,,40.29,,4.51,,65,,,,
2000-12-28,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-12-29,,,,4.46,2.91,,,,40.29,,4.51,,69,,,,
2000-12-30,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
2000-12-31,,,,4.46,2.91,,,,40.29,,4.51,,66,,,,
